"from_module","to_module","distance","drug_size","diz_size","sim_mean","sim_sd","p_val"
"D0U3ED","READ",-5660389.888,4,5,34630.695433129,3036867.11783536,0.0303761011940333
"D0T3DG","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0XQ4T","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0HG1W","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0MB0V","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0PJ8X","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D05CBS","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0CZ6T","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0S5SK","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0IL4Z","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0N9IA","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0E5QO","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D02RRE","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D04VAE","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0N1CC","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0KZ6Q","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0RX0M","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D04LRT","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D03KYL","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D09JZA","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0N0FA","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0YZ7D","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D09OQZ","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0B6DN","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0OT4O","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0C2ZJ","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0K0ZX","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D08PHH","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D09NRH","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0Y5DN","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D09WXH","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0O9TL","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D06NZY","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0K1RU","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0Q2FC","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0WP5S","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0NE0W","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0H2LD","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0BP6R","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0QM1R","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0H2BU","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0I6LO","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0V0BC","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D03PRA","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0LI2E","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0P7DA","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0IY8T","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D01EVT","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D08JPW","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0HD8F","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0O6QC","READ",-1436887.318463,1,5,20837.713131885,797238.842137381,0.0337397359152378
"D0W8XT","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0A3MJ","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D00GEG","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0N3SR","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0M8AB","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0R0FE","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D07VDZ","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D01NLB","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0Q4XQ","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D08EOD","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0U4VT","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D09JBP","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0CQ0Z","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0U7GP","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
"D0I9HF","READ",-1415097.472,1,5,20837.713131885,797238.842137381,0.035840762328136
