"","feature","importance.05","importance","importance.95","permutation.error"
"1","H3.3A",0.0207553956834532,0.0258992805755396,0.0303597122302158,0.037410071942446
"2","JUN",0.0129136690647482,0.0158273381294964,0.0194964028776978,0.0273381294964029
"3","CAV1",0.0114748201438849,0.0158273381294964,0.0202517985611511,0.0273381294964029
"4","ESR1",0.00719424460431655,0.0122302158273381,0.0173381294964029,0.0237410071942446
"5","EPAS1",0.00787769784172662,0.00935251798561151,0.0130215827338129,0.020863309352518
"6","CDH1",0.00431654676258993,0.00683453237410072,0.0101079136690648,0.0183453237410072
"7","STAT1",0.00280575539568345,0.00647482014388489,0.00794964028776978,0.0179856115107914
"8","EZR",0.00215827338129496,0.00503597122302158,0.00723021582733813,0.0165467625899281
"9","NR4A1",0.00143884892086331,0.00287769784172662,0.00435251798561151,0.0143884892086331
"10","HBB",0.000719424460431654,0.00215827338129496,0.00431654676258993,0.0136690647482014
"11","PRKDC",0,0.00215827338129496,0.00374100719424461,0.0136690647482014
"12","PIK3R1",-0.00151079136690648,0.000719424460431654,0.00294964028776979,0.0122302158273381
"13","AR",-0.00143884892086331,0.000719424460431654,0.00215827338129496,0.0122302158273381
"14","EGFR",-7.19424460431653e-05,0.000719424460431654,0.00287769784172662,0.0122302158273381
"15","PIM1",-0.000719424460431654,0.000719424460431654,0.000755395683453238,0.0122302158273381
"16","VEGFA",-0.000719424460431654,0.000719424460431654,0.00294964028776979,0.0122302158273381
"17","NFIB",-3.59712230215826e-05,0.000719424460431654,0.00294964028776979,0.0122302158273381
"18","CDKN1A",-0.000719424460431654,0.000359712230215827,0.00147482014388489,0.0118705035971223
